"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","938","938","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue May  1 12:57:10 2018","#757575","low","4","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","0","0","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#000000","high","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","938","NA","27594","2593","1782","938","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","present","33110","33110","NA","NA","1052","33094","33163","33682","1083","28699","31310","33682","34627","NA","33147","Fraction component detection task","1","938","1","yes","1280"
"100","100","725","725","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","Tue May  1 12:57:10 2018","#000000","high","3","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","1","1","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#000000","high","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","512","NA","27594","2593","1782","512","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","absent","33110","33110","NA","NA","1052","33094","34718","35236","1083","28699","31310","35237","35751","NA","34703","Fraction component detection task","2","1450","2","yes","1280"
"100","100","629.666666667","629.666666667","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","2","0","0","2","2","0","0","0","2","2","0","2","Tue May  1 12:57:10 2018","#000000","high","2","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","2","2","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","439","NA","27594","2593","1782","439","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","absent","33110","33110","NA","NA","1052","33094","35834","36350","1083","28699","31310","36350","36791","NA","35816","Fraction component detection task","3","1889","3","yes","1280"
"100","100","571.25","571.25","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","3","0","0","3","3","0","0","0","3","3","0","3","Tue May  1 12:57:10 2018","#000000","high","3","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","3","3","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","396","NA","27594","2593","1782","396","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","absent","33110","33110","NA","NA","1052","33094","36876","37392","1083","28699","31310","37393","37791","NA","36855","Fraction component detection task","4","2285","4","yes","1280"
"80","80","552.8","552.8","#808080","no","legacy","legacy","legacy","0","uniform","0","undefined","undefined","undefined","0","a","0","0","0","4","0","0","4","4","0","0","0","4","4","0","4","Tue May  1 12:57:10 2018","#757575","low","2","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","4","4","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#757575","low","4","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","479","NA","27594","2593","1782","479","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","absent","33110","33110","NA","NA","1052","33094","37882","38398","1083","28699","31310","38399","38879","NA","37863","Fraction component detection task","4","2764","5","yes","1280"
"83.3333333333","83.3333333333","540.666666667","540.666666667","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","5","0","0","5","5","0","0","0","5","5","0","5","Tue May  1 12:57:10 2018","#757575","low","2","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","5","5","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#757575","low","6","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","480","NA","27594","2593","1782","480","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","present","33110","33110","NA","38899","1052","33094","39977","40494","1083","28699","31310","40494","40976","NA","39960","Fraction component detection task","5","3244","6","yes","1280"
"85.7142857143","85.7142857143","568.714285714","568.714285714","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","6","0","0","6","6","0","0","0","6","6","0","6","Tue May  1 12:57:10 2018","#000000","high","4","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","6","6","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#757575","low","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","737","NA","27594","2593","1782","737","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","absent","33110","33110","NA","38899","1052","33094","41062","41579","1083","28699","31310","41579","42318","NA","41045","Fraction component detection task","6","3981","7","yes","1280"
"87.5","87.5","580.75","580.75","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","7","0","0","7","7","0","0","0","7","7","0","7","Tue May  1 12:57:10 2018","#757575","low","7","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","7","7","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#000000","high","4","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","665","NA","27594","2593","1782","665","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","present","33110","33110","NA","38899","1052","33094","42405","42923","1083","28699","31310","42923","43590","NA","42389","Fraction component detection task","7","4646","8","yes","1280"
"88.8888888889","88.8888888889","569.333333333","569.333333333","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","8","0","0","8","8","0","0","0","8","8","0","8","Tue May  1 12:57:10 2018","#000000","high","6","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","8","8","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","478","NA","27594","2593","1782","478","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","present","33110","33110","NA","38899","1052","33094","43673","44192","1083","28699","31310","44192","44671","NA","43656","Fraction component detection task","8","5124","9","yes","1280"
"90","90","552.9","552.9","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","9","0","0","9","9","0","0","0","9","9","0","9","Tue May  1 12:57:10 2018","#757575","low","7","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","9","9","0","/Users/tom/github/sft-fraction/exp1/data/subject-5b.csv","legacy","#000000","high","8","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","405","NA","27594","2593","1782","405","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","present","33110","33110","NA","38899","1052","33094","44757","45273","1083","28699","31310","45273","45679","NA","44739","Fraction component detection task","9","5529","10","yes","1280"
