"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"98.0792316927","98.0792316927","649.039615846","649.039615846","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","832","0","0","832","832","0","0","0","832","832","3","832","Thu Apr 26 09:53:39 2018","#757575","low","3","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","184","184","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","584","NA","101826","10008","16159","584","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1239586","1240106","1313","103156","113181","1240106","1240702","1007412","1239569","Fraction component detection task","817","540650","833","yes","1280"
"98.0815347722","98.0815347722","648.839328537","648.839328537","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","833","0","0","833","833","0","0","0","833","833","3","833","Thu Apr 26 09:53:39 2018","#757575","low","4","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","185","185","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","4","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","482","NA","101826","10008","16159","482","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1240794","1241312","1313","103156","113181","1241312","1241809","1007412","1240774","Fraction component detection task","818","541132","834","yes","1280"
"98.0838323353","98.0838323353","648.85508982","648.85508982","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","3","3","0","834","0","0","834","834","0","0","0","834","834","3","834","Thu Apr 26 09:53:39 2018","#757575","low","6","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","186","186","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","4","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","662","NA","101826","10008","16159","662","8778","2","legacy","1024","2","48000","-16","experiment","4","even","present","1016256","1016256","NA","979779","1288","129342","1241894","1242411","1313","103156","113181","1242411","1243085","1007412","1241878","Fraction component detection task","819","541794","835","yes","1280"
"98.0861244019","98.0861244019","648.813397129","648.813397129","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","835","0","0","835","835","0","0","0","835","835","3","835","Thu Apr 26 09:53:39 2018","#757575","low","3","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","187","187","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","614","NA","101826","10008","16159","614","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1243166","1243683","1313","103156","113181","1243683","1244309","1007412","1243149","Fraction component detection task","820","542408","836","yes","1280"
"98.0884109916","98.0884109916","648.753882915","648.753882915","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","3","3","0","836","0","0","836","836","0","0","0","836","836","3","836","Thu Apr 26 09:53:39 2018","#757575","low","3","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","188","188","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","8","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","599","NA","101826","10008","16159","599","8778","2","legacy","1024","2","48000","-16","experiment","4","even","present","1016256","1016256","NA","979779","1288","129342","1244391","1244907","1313","103156","113181","1244907","1245520","1007412","1244375","Fraction component detection task","821","543007","837","yes","1280"
"98.0906921241","98.0906921241","648.732696897","648.732696897","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","837","0","0","837","837","0","0","0","837","837","3","837","Thu Apr 26 09:53:39 2018","#757575","low","4","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","189","189","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","4","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","631","NA","101826","10008","16159","631","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1245606","1246123","1313","103156","113181","1246123","1246766","1007412","1245591","Fraction component detection task","822","543638","838","yes","1280"
"98.0929678188","98.0929678188","648.642431466","648.642431466","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","3","3","0","838","0","0","838","838","0","0","0","838","838","3","838","Thu Apr 26 09:53:39 2018","#757575","low","7","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","190","190","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","573","NA","101826","10008","16159","573","8778","2","legacy","1024","2","48000","-16","experiment","4","even","present","1016256","1016256","NA","979779","1288","129342","1246846","1247364","1313","103156","113181","1247365","1247950","1007412","1246830","Fraction component detection task","823","544211","839","yes","1280"
"98.0952380952","98.0952380952","648.621428571","648.621428571","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","3","3","0","839","0","0","839","839","0","0","0","839","839","3","839","Thu Apr 26 09:53:39 2018","#757575","low","7","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","191","191","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","631","NA","101826","10008","16159","631","8778","2","legacy","1024","2","48000","-16","experiment","4","even","present","1016256","1016256","NA","979779","1288","129342","1248037","1248554","1313","103156","113181","1248554","1249197","1007412","1248021","Fraction component detection task","824","544842","840","yes","1280"
"98.0975029727","98.0975029727","648.526753864","648.526753864","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","840","0","0","840","840","0","0","0","840","840","3","840","Thu Apr 26 09:53:39 2018","#757575","low","3","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","192","192","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","569","NA","101826","10008","16159","569","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1249284","1249801","1313","103156","113181","1249801","1250382","1007412","1249265","Fraction component detection task","825","545411","841","yes","1280"
"98.0997624703","98.0997624703","648.509501188","648.509501188","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","3","3","0","841","0","0","841","841","0","0","0","841","841","3","841","Thu Apr 26 09:53:39 2018","#757575","low","6","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","193","193","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","634","NA","101826","10008","16159","634","8778","2","legacy","1024","2","48000","-16","experiment","4","even","present","1016256","1016256","NA","979779","1288","129342","1250475","1250993","1313","103156","113181","1250993","1251640","1007412","1250454","Fraction component detection task","826","546045","842","yes","1280"
