"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","779","779","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue May  1 10:34:00 2018","#757575","low","4","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","0","0","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#000000","high","4","Jazzy James","3.1.9","0","a","NA","space","space","l","a","NA","779","NA","28559","21485","29713","779","NA","2","legacy","1024","2","48000","-16","experiment","4","even","absent","80869","80868","NA","NA","1021","80852","80924","81440","1052","29630","51132","81441","82222","NA","80907","Fraction component detection task","1","779","1","yes","1280"
"100","100","759.5","759.5","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","Tue May  1 10:34:00 2018","#757575","low","3","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","1","1","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#757575","low","7","Jazzy James","3.1.9","0","l","NA","space","space","l","l","NA","740","NA","28559","21485","29713","740","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","80869","80868","NA","NA","1021","80852","82315","82833","1052","29630","51132","82833","83575","NA","82298","Fraction component detection task","2","1519","2","yes","1280"
"100","100","689.333333333","689.333333333","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","2","0","0","2","2","0","0","0","2","2","0","2","Tue May  1 10:34:00 2018","#000000","high","2","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","2","2","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","a","NA","space","space","l","a","NA","549","NA","28559","21485","29713","549","NA","2","legacy","1024","2","48000","-16","experiment","4","even","absent","80869","80868","NA","NA","1021","80852","83655","84175","1052","29630","51132","84176","84727","NA","83639","Fraction component detection task","3","2068","3","yes","1280"
"100","100","792","792","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","3","0","0","3","3","0","0","0","3","3","0","3","Tue May  1 10:34:00 2018","#000000","high","8","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","3","3","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","l","NA","space","space","l","l","NA","1100","NA","28559","21485","29713","1100","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","80869","80868","NA","NA","1021","80852","84815","85337","1052","29630","51132","85337","86439","NA","84794","Fraction component detection task","4","3168","4","yes","1280"
"100","100","769.4","769.4","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","4","0","0","4","4","0","0","0","4","4","0","4","Tue May  1 10:34:00 2018","#000000","high","8","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","4","4","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#000000","high","7","Jazzy James","3.1.9","0","l","NA","space","space","l","l","NA","679","NA","28559","21485","29713","679","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","80869","80868","NA","NA","1021","80852","86522","87039","1052","29630","51132","87039","87719","NA","86504","Fraction component detection task","5","3847","5","yes","1280"
"100","100","751.833333333","751.833333333","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","5","0","0","5","5","0","0","0","5","5","0","5","Tue May  1 10:34:00 2018","#757575","low","3","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","5","5","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","a","NA","space","space","l","a","NA","664","NA","28559","21485","29713","664","NA","2","legacy","1024","2","48000","-16","experiment","4","even","absent","80869","80868","NA","NA","1021","80852","87808","88325","1052","29630","51132","88326","88991","NA","87786","Fraction component detection task","6","4511","6","yes","1280"
"100","100","739.428571429","739.428571429","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","6","0","0","6","6","0","0","0","6","6","0","6","Tue May  1 10:34:00 2018","#000000","high","3","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","6","6","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","a","NA","space","space","l","a","NA","665","NA","28559","21485","29713","665","NA","2","legacy","1024","2","48000","-16","experiment","4","even","absent","80869","80868","NA","NA","1021","80852","89070","89588","1052","29630","51132","89588","90254","NA","89054","Fraction component detection task","7","5176","7","yes","1280"
"100","100","790.125","790.125","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","7","0","0","7","7","0","0","0","7","7","0","7","Tue May  1 10:34:00 2018","#757575","low","4","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","7","7","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#757575","low","4","Jazzy James","3.1.9","0","a","NA","space","space","l","a","NA","1145","NA","28559","21485","29713","1145","NA","2","legacy","1024","2","48000","-16","experiment","4","even","absent","80869","80868","NA","NA","1021","80852","90343","90860","1052","29630","51132","90860","92007","NA","90320","Fraction component detection task","8","6321","8","yes","1280"
"100","100","781.111111111","781.111111111","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","8","0","0","8","8","0","0","0","8","8","0","8","Tue May  1 10:34:00 2018","#757575","low","7","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","8","8","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#000000","high","4","Jazzy James","3.1.9","0","l","NA","space","space","l","l","NA","709","NA","28559","21485","29713","709","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","80869","80868","NA","NA","1021","80852","92090","92607","1052","29630","51132","92608","93319","NA","92074","Fraction component detection task","9","7030","9","yes","1280"
"100","100","755.6","755.6","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","9","0","0","9","9","0","0","0","9","9","0","9","Tue May  1 10:34:00 2018","#000000","high","7","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","yes","800","legacy","9","9","0","/Users/tom/github/sft-fraction/exp1/data/subject-4b.csv","legacy","#757575","low","7","Jazzy James","3.1.9","0","l","NA","space","space","l","l","NA","526","NA","28559","21485","29713","526","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","80869","80868","NA","NA","1021","80852","93407","93927","1052","29630","51132","93928","94455","NA","93390","Fraction component detection task","10","7556","10","yes","1280"
