"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fontDenom","fontNum","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"99.0981963928","99.0981963928","843.832665331","843.832665331","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","4","4","0","997","0","0","997","997","0","0","0","997","997","4","997","Wed May  2 09:04:42 2018","#757575","low","6","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","mono","no","mono","no","24","no","white","no","yes","800","legacy","133","133","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","607","NA","115152","12630","5829","607","21216","2","legacy","1024","2","48000","-16","experiment","2","even","present","1439447","1439447","NA","1608989","1384","135070","1654516","1655036","1420","116591","129239","1655037","1655657","1418158","1654496","Fraction component detection task","989","842145","998","yes","1280"
"99.0990990991","99.0990990991","843.419419419","843.419419419","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","4","4","0","998","0","0","998","998","0","0","0","998","998","4","998","Wed May  2 09:04:42 2018","#000000","high","3","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","yes","800","legacy","134","134","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","431","NA","115152","12630","5829","431","21216","2","legacy","1024","2","48000","-16","experiment","2","even","present","1439447","1439447","NA","1608989","1384","135070","1655748","1656269","1420","116591","129239","1656269","1656716","1418158","1655729","Fraction component detection task","990","842576","999","yes","1280"
"99.1","99.1","843.142","843.142","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","4","4","0","999","0","0","999","999","0","0","0","999","999","4","999","Wed May  2 09:04:42 2018","#000000","high","4","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","135","135","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","566","NA","115152","12630","5829","566","21216","2","legacy","1024","2","48000","-16","experiment","2","even","absent","1439447","1439447","NA","1608989","1384","135070","1656809","1657325","1420","116591","129239","1657326","1657912","1418158","1656790","Fraction component detection task","991","843142","1000","yes","1280"
"99.1008991009","99.1008991009","842.86013986","842.86013986","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","4","4","0","1000","0","0","1000","1000","0","0","0","1000","1000","4","1000","Wed May  2 09:04:42 2018","#000000","high","6","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","136","136","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","6","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","561","NA","115152","12630","5829","561","21216","2","legacy","1024","2","48000","-16","experiment","2","even","present","1439447","1439447","NA","1608989","1384","135070","1658002","1658522","1420","116591","129239","1658522","1659096","1418158","1657985","Fraction component detection task","992","843703","1001","yes","1280"
"99.1017964072","99.1017964072","842.745508982","842.745508982","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","4","4","0","1001","0","0","1001","1001","0","0","0","1001","1001","4","1001","Wed May  2 09:04:42 2018","#757575","low","4","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","137","137","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","728","NA","115152","12630","5829","728","21216","2","legacy","1024","2","48000","-16","experiment","2","even","absent","1439447","1439447","NA","1608989","1384","135070","1659184","1659700","1420","116591","129239","1659700","1660442","1418158","1659167","Fraction component detection task","993","844431","1002","yes","1280"
"99.1026919242","99.1026919242","842.570289133","842.570289133","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","4","4","0","1002","0","0","1002","1002","0","0","0","1002","1002","4","1002","Wed May  2 09:04:42 2018","#757575","low","6","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","138","138","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","667","NA","115152","12630","5829","667","21216","2","legacy","1024","2","48000","-16","experiment","2","even","present","1439447","1439447","NA","1608989","1384","135070","1660531","1661049","1420","116591","129239","1661049","1661730","1418158","1660514","Fraction component detection task","994","845098","1003","yes","1280"
"99.1035856574","99.1035856574","842.327689243","842.327689243","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","4","4","0","1003","0","0","1003","1003","0","0","0","1003","1003","4","1003","Wed May  2 09:04:42 2018","#757575","low","8","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","139","139","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","599","NA","115152","12630","5829","599","21216","2","legacy","1024","2","48000","-16","experiment","2","even","present","1439447","1439447","NA","1608989","1384","135070","1661816","1662332","1420","116591","129239","1662333","1662946","1418158","1661800","Fraction component detection task","995","845697","1004","yes","1280"
"99.1044776119","99.1044776119","842.016915423","842.016915423","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","4","4","0","1004","0","0","1004","1004","0","0","0","1004","1004","4","1004","Wed May  2 09:04:42 2018","#000000","high","8","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","yes","800","legacy","140","140","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","530","NA","115152","12630","5829","530","21216","2","legacy","1024","2","48000","-16","experiment","2","even","present","1439447","1439447","NA","1608989","1384","135070","1663032","1663553","1420","116591","129239","1663553","1664097","1418158","1663016","Fraction component detection task","996","846227","1005","yes","1280"
"99.1053677932","99.1053677932","842.03777336","842.03777336","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","4","4","0","1005","0","0","1005","1005","0","0","0","1005","1005","4","1005","Wed May  2 09:04:42 2018","#000000","high","6","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","yes","800","legacy","141","141","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","6","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","863","NA","115152","12630","5829","863","21216","2","legacy","1024","2","48000","-16","experiment","2","even","present","1439447","1439447","NA","1608989","1384","135070","1664184","1664701","1420","116591","129239","1664701","1665579","1418158","1664168","Fraction component detection task","997","847090","1006","yes","1280"
"99.1062562066","99.1062562066","842.052631579","842.052631579","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","4","4","0","1006","0","0","1006","1006","0","0","0","1006","1006","4","1006","Wed May  2 09:04:42 2018","#000000","high","4","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","142","142","4","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","857","NA","115152","12630","5829","857","21216","2","legacy","1024","2","48000","-16","experiment","2","even","absent","1439447","1439447","NA","1608989","1384","135070","1665676","1666193","1420","116591","129239","1666194","1667065","1418158","1665654","Fraction component detection task","998","847947","1007","yes","1280"
