"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fontDenom","fontNum","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1648","1648","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Sep 13 11:34:04 2018","#000000","high","2","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","no","800","legacy","0","0","0","/Users/tom/github/sft-fraction/exp2/quickrun.csv","legacy","#000000","high","4","Kafkaesque Koffka","3.2.5","0","a","NA","space","space","space","a","NA","1648","NA","965","422","335","1648","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","absent","50911","50911","NA","NA","49075","50859","51025","51541","49094","50079","50522","51541","53190","NA","51008","Fraction component detection task","1","1648","1","yes","1280"
"100","100","1220.5","1220.5","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","Thu Sep 13 11:34:04 2018","#000000","high","2","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","no","800","legacy","1","1","0","/Users/tom/github/sft-fraction/exp2/quickrun.csv","legacy","#000000","high","3","Kafkaesque Koffka","3.2.5","0","a","NA","space","space","space","a","NA","793","NA","965","422","335","793","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","absent","50911","50911","NA","NA","49075","50859","53364","53880","49094","50079","50522","53881","54675","NA","53348","Fraction component detection task","2","2441","2","yes","1280"
"100","100","2262","2262","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","2","0","0","2","2","0","0","0","2","2","0","2","Thu Sep 13 11:34:04 2018","#757575","low","8","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","mono","no","mono","no","24","no","white","no","no","800","legacy","2","2","0","/Users/tom/github/sft-fraction/exp2/quickrun.csv","legacy","#000000","high","8","Kafkaesque Koffka","3.2.5","0","l","NA","space","space","space","l","NA","4345","NA","965","422","335","4345","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","present","50911","50911","NA","NA","49075","50859","54903","55421","49094","50079","50522","55421","59768","NA","54887","Fraction component detection task","3","6786","3","yes","1280"
"75","75","1980","1980","#808080","no","legacy","legacy","legacy","0","uniform","0","undefined","undefined","undefined","0","l","0","0","0","3","0","0","3","3","0","0","0","3","3","0","3","Thu Sep 13 11:34:04 2018","#000000","high","7","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","no","800","legacy","3","3","0","/Users/tom/github/sft-fraction/exp2/quickrun.csv","legacy","#000000","high","8","Kafkaesque Koffka","3.2.5","0","a","NA","space","space","space","a","NA","1134","NA","965","422","335","1134","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","present","50911","50911","NA","NA","49075","50859","59919","60436","49094","50079","50522","60436","61572","NA","59903","Fraction component detection task","3","7920","4","yes","1280"
