"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","4779","4779","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Sep 13 11:33:16 2018","#757575","low","4","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","no","800","legacy","0","0","0","/Users/tom/github/sft-fraction/exp1/quickrun.csv","legacy","#000000","high","6","Kafkaesque Koffka","3.2.5","0","l","NA","space","space","space","l","NA","4779","NA","8356","5880","1883","4779","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","present","17396","17396","NA","NA","1146","17336","17519","18040","1170","9553","15451","18040","22821","NA","17504","Fraction component detection task","1","4779","1","yes","1280"
"100","100","3250.5","3250.5","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","Thu Sep 13 11:33:16 2018","#000000","high","4","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","no","800","legacy","1","1","0","/Users/tom/github/sft-fraction/exp1/quickrun.csv","legacy","#000000","high","2","Kafkaesque Koffka","3.2.5","0","a","NA","space","space","space","a","NA","1722","NA","8356","5880","1883","1722","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","absent","17396","17396","NA","NA","1146","17336","22991","23508","1170","9553","15451","23508","25232","NA","22976","Fraction component detection task","2","6501","2","yes","1280"
"100","100","2453","2453","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","2","0","0","2","2","0","0","0","2","2","0","2","Thu Sep 13 11:33:16 2018","#000000","high","4","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","no","800","legacy","2","2","0","/Users/tom/github/sft-fraction/exp1/quickrun.csv","legacy","#000000","high","3","Kafkaesque Koffka","3.2.5","0","a","NA","space","space","space","a","NA","858","NA","8356","5880","1883","858","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","absent","17396","17396","NA","NA","1146","17336","25386","25903","1170","9553","15451","25903","26763","NA","25370","Fraction component detection task","3","7359","3","yes","1280"
"100","100","2175.75","2175.75","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","3","0","0","3","3","0","0","0","3","3","0","3","Thu Sep 13 11:33:16 2018","#757575","low","7","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","no","800","legacy","3","3","0","/Users/tom/github/sft-fraction/exp1/quickrun.csv","legacy","#757575","low","8","Kafkaesque Koffka","3.2.5","0","l","NA","space","space","space","l","NA","1344","NA","8356","5880","1883","1344","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","present","17396","17396","NA","NA","1146","17336","26919","27437","1170","9553","15451","27437","28783","NA","26900","Fraction component detection task","4","8703","4","yes","1280"
"100","100","2249.4","2249.4","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","4","0","0","4","4","0","0","0","4","4","0","4","Thu Sep 13 11:33:16 2018","#757575","low","4","The main experiment item","yes","","exp1.osexp","/Users/tom/github/sft-fraction/exp1","no","mono","no","24","no","white","no","no","800","legacy","4","4","0","/Users/tom/github/sft-fraction/exp1/quickrun.csv","legacy","#757575","low","8","Kafkaesque Koffka","3.2.5","0","l","NA","space","space","space","l","NA","2544","NA","8356","5880","1883","2544","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","present","17396","17396","NA","NA","1146","17336","28939","29457","1170","9553","15451","29457","32002","NA","28920","Fraction component detection task","5","11247","5","yes","1280"
